x, y
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
1, 2.78112e-07
1.1, 5.74035e-07
1.2, 3.79229e-07
1.3, 2.66572e-07
1.4, 1.74641e-07
1.5, 1.09117e-07
1.6, 1.22021e-07
1.7, 5.08367e-07
1.8, 1.23397e-06
1.9, 2.08521e-06
2, 2.90858e-06
2.1, 3.62491e-06
2.2, 4.19866e-06
2.3, 4.62361e-06
2.4, 4.90949e-06
2.5, 5.0687e-06
2.6, 5.11649e-06
2.7, 5.0853e-06
2.8, 5.00192e-06
2.9, 4.88176e-06
3, 4.73398e-06
3.1, 4.56388e-06
3.2, 4.37461e-06
3.3, 4.16755e-06
3.4, 3.94313e-06
3.5, 3.70276e-06
3.6, 3.30502e-06
3.7, 1.61028e-06
3.8, 4.87021e-06
3.9, 1.72361e-05
4, 3.83628e-05
4.1, 6.95411e-05
4.2, 0.000111263
4.3, 0.000163188
4.4, 0.000224479
4.5, 0.000293768
4.6, 0.000369292
4.7, 0.000449171
4.8, 0.000531454
4.9, 0.000613647
5, 0.000691398
