x, y
0.5, 1.2444
0.6, 1.22912
0.7, 1.17582
0.8, 1.06303
0.9, 0.871735
1, 0.763976
1.1, 0.75208
1.2, 0.753358
1.3, 0.721144
1.4, 0.728717
1.5, 0.765156
1.6, 0.836186
1.7, 0.85089
1.8, 0.791483
1.9, 0.700686
2, 0.61941
2.1, 0.553221
2.2, 0.505656
2.3, 0.476654
2.4, 0.454894
2.5, 0.43363
2.6, 0.411417
2.7, 0.384531
2.8, 0.352672
2.9, 0.319614
3, 0.291701
3.1, 0.271773
3.2, 0.256716
3.3, 0.243316
3.4, 0.229953
3.5, 0.215976
3.6, 0.201312
3.7, 0.187243
3.8, 0.174607
3.9, 0.163262
4, 0.152277
4.1, 0.141068
4.2, 0.130232
4.3, 0.120864
4.4, 0.113906
4.5, 0.109898
4.6, 0.109343
4.7, 0.112408
4.8, 0.118496
4.9, 0.126904
5, 0.13708
