x, y
0.5, 0.00846937
0.6, 0.00847236
0.7, 0.00852889
0.8, 0.00862194
0.9, 0.00881585
1, 0.00913846
1.1, 0.00945563
1.2, 0.00961334
1.3, 0.00957347
1.4, 0.00937534
1.5, 0.0090621
1.6, 0.0086422
1.7, 0.00813469
1.8, 0.00758277
1.9, 0.00702193
2, 0.00649016
2.1, 0.00603004
2.2, 0.00566459
2.3, 0.00538567
2.4, 0.00517469
2.5, 0.00499927
2.6, 0.00483072
2.7, 0.00466093
2.8, 0.0044933
2.9, 0.00433015
3, 0.00416942
3.1, 0.0040048
3.2, 0.00383505
3.3, 0.00366494
3.4, 0.00350164
3.5, 0.00335065
3.6, 0.00321465
3.7, 0.0030916
3.8, 0.00297645
3.9, 0.00286467
4, 0.00275518
4.1, 0.00264827
4.2, 0.00254415
4.3, 0.00244308
4.4, 0.00234593
4.5, 0.00225413
4.6, 0.00216979
4.7, 0.00209472
4.8, 0.00202997
4.9, 0.00197634
5, 0.00193459
