x, y
0.5, 50.2988
0.6, 1496.57
0.7, 231.129
0.8, 154.335
0.9, 175.345
1, 48.4326
1.1, 1.94367
1.2, 1.46139
1.3, 1.13608
1.4, 0.906502
1.5, 1.28008
1.6, 0.611989
1.7, 0.546341
1.8, 1040.05
1.9, 0.638199
2, 88.7584
2.1, 1662.94
2.2, 1662.94
2.3, 1.03722
2.4, 1.07032
2.5, 1.06432
2.6, 1.02271
2.7, 0.965254
2.8, 0.962342
2.9, 0.84678
3, 0.804896
3.1, 0.795003
3.2, 0.829754
3.3, 0.910855
3.4, 1.03517
3.5, 1.19928
3.6, 1.39794
3.7, 1.62597
3.8, 1.87957
3.9, 2.15682
4, 2.45705
4.1, 2.78228
4.2, 3.13586
4.3, 3.51873
4.4, 3.93028
4.5, 4.36804
4.6, 4.82774
4.7, 5.30395
4.8, 41.454
4.9, 484.284
5, 5.9008
