x, y
0.5, 0.140944
0.6, 0.124327
0.7, 0.0924898
0.8, 0.0833343
0.9, 0.0206732
1, 0.0204944
1.1, 0.00556792
1.2, 0.00484884
1.3, 0.00431389
1.4, 0.00392602
1.5, 0.00365825
1.6, 0.00350086
1.7, 0.0034399
1.8, 0.00341524
1.9, 0.00335837
2, 0.00325369
2.1, 0.0031218
2.2, 0.00298158
2.3, 0.00284199
2.4, 0.00270345
2.5, 0.00255988
2.6, 0.00240716
2.7, 0.00225633
2.8, 0.00212687
2.9, 0.00203178
3, 0.00197899
3.1, 0.00197146
3.2, 0.00200421
3.3, 0.00206666
3.4, 0.00214608
3.5, 0.00222644
3.6, 0.00229286
3.7, 0.00233504
3.8, 0.00234772
3.9, 0.00232993
4, 0.00228275
4.1, 0.00220808
4.2, 0.00210992
4.3, 0.0861316
4.4, 0.0861047
4.5, 0.0860813
4.6, 0.0860614
4.7, 0.0860446
4.8, 0.0860308
4.9, 0.0860196
5, 0.0860107
