x, y
0.5, 0.0531861
0.6, 0.0531861
0.7, 0.0414434
0.8, 0.03911
0.9, 0.0119074
1, 0.0107613
1.1, 0.00622675
1.2, 0.0055422
1.3, 0.00512533
1.4, 0.00345075
1.5, 0.00320299
1.6, 0.00306935
1.7, 0.00306717
1.8, 0.00319373
1.9, 0.00342316
2, 0.00373762
2.1, 0.0041335
2.2, 0.00460841
2.3, 0.00515433
2.4, 0.00575863
2.5, 0.00641495
2.6, 0.00713259
2.7, 0.00792459
2.8, 0.00879812
2.9, 0.00975494
3, 0.010799
3.1, 0.0119372
3.2, 0.013172
3.3, 0.0144972
3.4, 0.0158971
3.5, 0.0173511
3.6, 0.0188398
3.7, 0.0203463
3.8, 0.0218574
3.9, 0.023363
4, 0.0248548
4.1, 0.0263265
4.2, 0.0277736
4.3, 0.0291935
4.4, 0.0305852
4.5, 0.0319482
4.6, 0.0332821
4.7, 0.0469311
4.8, 0.0503809
4.9, 0.0536999
5, 0.0598236
