x, y
0.5, 0.0482005
0.6, 0.0411196
0.7, 0.0275359
0.8, 0.0178162
0.9, 0.0099178
1, 0.00876679
1.1, 0.00515413
1.2, 0.00447959
1.3, 0.00408742
1.4, 0.00402023
1.5, 0.00414416
1.6, 0.00447415
1.7, 0.00726543
1.8, 0.00918311
1.9, 0.0108804
2, 0.0125131
2.1, 0.0141312
2.2, 0.015773
2.3, 0.0174458
2.4, 0.0191373
2.5, 0.020834
2.6, 0.0225378
2.7, 0.0242267
2.8, 0.0256975
2.9, 0.0271969
3, 0.02811
3.1, 0.0289388
3.2, 0.0298517
3.3, 0.0308408
3.4, 0.0318713
3.5, 0.0329387
3.6, 0.0340499
3.7, 0.0352027
3.8, 0.0363963
3.9, 0.0384371
4, 0.0406107
4.1, 0.043963
4.2, 0.0471478
4.3, 0.0501386
4.4, 0.052845
4.5, 0.0553409
4.6, 0.0572918
4.7, 0.0576099
4.8, 0.0594811
4.9, 0.0613871
5, 0.0631582
