x, y
0.5, 0.0163336
0.6, 0.0163336
0.7, 0.0131855
0.8, 0.00944553
0.9, 0.00794982
1, 0.00511062
1.1, 0.00322175
1.2, 0.00166244
1.3, 0.000900016
1.4, 0.00074184
1.5, 0.00071645
1.6, 0.000739158
1.7, 0.000809434
1.8, 0.000917293
1.9, 0.00104912
2, 0.00119608
2.1, 0.00135469
2.2, 0.00152431
2.3, 0.00170452
2.4, 0.00189455
2.5, 0.00209325
2.6, 0.00229907
2.7, 0.00250503
2.8, 0.00271984
2.9, 0.00294318
3, 0.00317457
3.1, 0.00341315
3.2, 0.00365803
3.3, 0.00390919
3.4, 0.00416684
3.5, 0.00443089
3.6, 0.00470133
3.7, 0.00501547
3.8, 0.00538942
3.9, 0.00574767
4, 0.00611729
4.1, 0.00649101
4.2, 0.00686311
4.3, 0.0072339
4.4, 0.0076025
4.5, 0.00792345
4.6, 0.00823523
4.7, 0.00855402
4.8, 0.00887803
4.9, 0.0092056
5, 0.00953526
