x, y
0.5, 0.150457
0.6, 0.150457
0.7, 0.147076
0.8, 0.104844
0.9, 0.0834767
1, 0.0834561
1.1, 0.0220557
1.2, 0.020125
1.3, 0.00812158
1.4, 0.00822152
1.5, 0.0083196
1.6, 0.00839194
1.7, 0.00842195
1.8, 0.00841163
1.9, 0.00837617
2, 0.00834232
2.1, 0.00833159
2.2, 0.00838354
2.3, 0.00857065
2.4, 0.00896673
2.5, 0.00962858
2.6, 0.010581
2.7, 0.0118164
2.8, 0.0133135
2.9, 0.0150506
3, 0.01701
3.1, 0.0191786
3.2, 0.0215489
3.3, 0.0241149
3.4, 0.0268695
3.5, 0.0298041
3.6, 0.0486182
3.7, 0.052498
3.8, 0.0552305
3.9, 0.0571991
4, 0.0593558
4.1, 0.0616801
4.2, 0.0641522
4.3, 0.0667533
4.4, 0.069466
4.5, 0.0722742
4.6, 0.0751627
4.7, 0.0781176
4.8, 0.0811262
4.9, 0.0853956
5, 0.0910675
