x, y
0.5, 0.123221
0.6, 0.121305
0.7, 0.106323
0.8, 0.0763761
0.9, 0.0441286
1, 0.0163574
1.1, 0.00655489
1.2, 2.04076e-06
1.3, 1.69063e-06
1.4, 1.41452e-06
1.5, 1.19291e-06
1.6, 1.01497e-06
1.7, 8.66508e-07
1.8, 7.36294e-07
1.9, 6.26183e-07
2, 5.45074e-07
2.1, 4.98156e-07
2.2, 4.82436e-07
2.3, 4.89356e-07
2.4, 5.10938e-07
2.5, 5.42288e-07
2.6, 5.80614e-07
2.7, 6.23062e-07
2.8, 6.65559e-07
2.9, 7.04296e-07
3, 7.37103e-07
3.1, 7.63456e-07
3.2, 7.83821e-07
3.3, 7.99097e-07
3.4, 8.09907e-07
3.5, 8.16638e-07
3.6, 8.1948e-07
3.7, 8.18752e-07
3.8, 8.15334e-07
3.9, 8.10499e-07
4, 8.05458e-07
4.1, 8.01274e-07
4.2, 7.99079e-07
4.3, 8.00427e-07
4.4, 8.0727e-07
4.5, 8.21765e-07
4.6, 8.46218e-07
4.7, 8.82782e-07
4.8, 9.33086e-07
4.9, 9.98207e-07
5, 1.07875e-06
