x, y
0.5, 0.00010648
0.6, 1.0902e-06
0.7, 1.29269e-07
0.8, 7914.22
0.9, 6.48885e-09
1, 1.49733e-09
1.1, 4.04413e-06
1.2, 5.0554e-05
1.3, 200.393
1.4, 0.000335614
1.5, 0.000535507
1.6, 158.691
1.7, 0.000936358
1.8, 0.00111206
1.9, 123.488
2, 0.00139271
2.1, 0.114913
2.2, 107.892
2.3, 0.00163419
2.4, 0.00166404
2.5, 0.00166736
2.6, 0.0016478
2.7, 0.00160871
2.8, 0.00155307
2.9, 0.00148421
3, 0.00140681
3.1, 0.00132522
3.2, 0.00124107
3.3, 0.00116357
3.4, 0.00109265
3.5, 0.00103871
3.6, 0.0394938
3.7, 0.00128523
3.8, 2.78345
3.9, 0.00261028
4, 0.00362753
4.1, 0.00483564
4.2, 0.00617997
4.3, 0.00759699
4.4, 0.0090307
4.5, 0.0104482
4.6, 0.0118403
4.7, 0.0132241
4.8, 0.0146221
4.9, 0.0160374
5, 0.0174277
