x, y
0.5, 0.167842
0.6, 0.120393
0.7, 0.120392
0.8, 0.115596
0.9, 0.0634716
1, 0.0183082
1.1, 0.0160616
1.2, 0.0143206
1.3, 0.0133559
1.4, 0.0129615
1.5, 0.0130497
1.6, 0.0133454
1.7, 0.0137569
1.8, 0.0141505
1.9, 0.0143766
2, 0.0144044
2.1, 0.014272
2.2, 0.0140372
2.3, 0.013776
2.4, 0.0135528
2.5, 0.0134071
2.6, 0.0133468
2.7, 0.0133373
2.8, 0.0133399
2.9, 0.0210803
3, 0.0210305
3.1, 0.0209598
3.2, 0.020869
3.3, 0.0207549
3.4, 0.0206133
3.5, 0.0204452
3.6, 0.0202542
3.7, 0.0200463
3.8, 0.0198268
3.9, 0.0195996
4, 0.0193679
4.1, 0.0191344
4.2, 0.018901
4.3, 0.0186719
4.4, 0.0435464
4.5, 0.04329
4.6, 0.10394
4.7, 0.140045
4.8, 0.13947
4.9, 0.138891
5, 0.138313
