x, y
0.5, 9.80548e-07
0.6, 7.89225e-08
0.7, 5.46088e-09
0.8, 4.01784e-09
0.9, 3.07244e-09
1, 1.95936e-09
1.1, 1.15566e-09
1.2, 1.65746e-08
1.3, 5.92735e-08
1.4, 1.27465e-07
1.5, 2.12203e-07
1.6, 3.0331e-07
1.7, 3.92902e-07
1.8, 4.75765e-07
1.9, 5.49123e-07
2, 6.11938e-07
2.1, 6.64568e-07
2.2, 7.08694e-07
2.3, 7.47059e-07
2.4, 7.81962e-07
2.5, 8.14732e-07
2.6, 8.46005e-07
2.7, 8.75949e-07
2.8, 9.0439e-07
2.9, 9.31175e-07
3, 9.5604e-07
3.1, 9.75671e-07
3.2, 9.39334e-07
3.3, 7.43906e-07
3.4, 5.06374e-07
3.5, 1.18853e-06
3.6, 2.7076e-06
3.7, 4.86827e-06
3.8, 7.65586e-06
3.9, 1.0996e-05
4, 1.47809e-05
4.1, 1.89091e-05
4.2, 2.32628e-05
4.3, 2.77031e-05
4.4, 3.20921e-05
4.5, 3.62693e-05
4.6, 4.00329e-05
4.7, 4.31795e-05
4.8, 4.55588e-05
4.9, 4.70723e-05
5, 4.76675e-05
