x, y
0.5, 0.00619149
0.6, 0.00607205
0.7, 0.00601238
0.8, 0.00597809
0.9, 0.00593929
1, 0.00586524
1.1, 0.00574149
1.2, 0.00560899
1.3, 0.00564263
1.4, 0.00611565
1.5, 0.00717914
1.6, 0.00875883
1.7, 0.0106897
1.8, 0.0128343
1.9, 0.0151052
2, 0.01746
2.1, 0.0198861
2.2, 0.0223941
2.3, 0.0250033
2.4, 0.0277274
2.5, 0.0305717
2.6, 0.0335372
2.7, 0.0366227
2.8, 0.039826
2.9, 0.0431462
3, 0.0465836
3.1, 0.0501392
3.2, 0.0538141
3.3, 0.0576091
3.4, 0.0615249
3.5, 0.0655622
3.6, 0.0697214
3.7, 0.0740025
3.8, 0.078405
3.9, 0.0829274
4, 0.0875672
4.1, 0.092321
4.2, 0.0971851
4.3, 0.102155
4.4, 0.107226
4.5, 0.112393
4.6, 0.11765
4.7, 0.122992
4.8, 0.128411
4.9, 0.133903
5, 0.139461
