x, y
0.5, 39.4944
0.6, 764.04
0.7, 75339.5
0.8, 23308.5
0.9, 52428.9
1, 17339.9
1.1, 45404.7
1.3, 18.6364
1.4, 52017.6
1.5, 69370.1
1.6, 474.813
1.7, 48758.7
1.8, 1.65323
1.9, 22.0789
2, 1.45672
2.1, 1.39225
2.2, 1.3497
2.3, 1344.25
2.4, 1.3019
2.5, 842.25
2.6, 265.743
2.7, 842.277
2.8, 1.42359
2.9, 1.50105
3, 1.59605
3.1, 428.958
3.2, 1.83941
3.3, 1.98804
3.4, 2.19793
3.5, 2.34245
3.6, 2.55207
3.7, 2.77835
3.8, 3.04047
3.9, 430.144
4, 3.7845
4.2, 4.22609
4.3, 4.57925
4.4, 4.99983
4.5, 5.35562
4.6, 6.17752
4.7, 6.24962
4.8, 7.01338
4.9, 7.28615
5, 7.73048
