x, y
0.5, 2.33881e-10
0.6, 4.14856e-12
0.7, 6.01524e-14
0.8, 7.21849e-15
0.9, 3.57712e-15
1, 1.36693e-15
1.1, 6.13566e-11
1.2, 3.16867e-10
1.3, 1.02182e-09
1.4, 1.9392e-09
1.5, 3.0107e-09
1.6, 4.07499e-09
1.7, 5.03765e-09
1.8, 5.91574e-09
1.9, 6.67355e-09
2, 7.27565e-09
2.1, 7.77894e-09
2.2, 8.1442e-09
2.3, 8.39758e-09
2.4, 8.49965e-09
2.5, 8.46882e-09
2.6, 8.33902e-09
2.7, 8.12033e-09
2.8, 7.83408e-09
2.9, 7.46238e-09
3, 7.08926e-09
3.1, 6.65795e-09
3.2, 6.2943e-09
3.3, 6.03292e-09
3.4, 5.99568e-09
3.5, 6.26624e-09
3.6, 7.18421e-09
3.7, 9.34196e-09
3.8, 1.33141e-08
3.9, 1.94107e-08
4, 2.74837e-08
4.1, 3.75808e-08
4.2, 4.95987e-08
4.3, 6.36353e-08
4.4, 7.93529e-08
4.5, 9.61445e-08
4.6, 1.13831e-07
4.7, 1.32018e-07
4.8, 1.50019e-07
4.9, 1.67042e-07
5, 1.81856e-07
