x, y
0.5, 0.146419
0.6, 0.144936
0.7, 0.143173
0.8, 0.116271
0.9, 0.0878208
1, 0.0592132
1.1, 0.0327648
1.2, 0.0189534
1.3, 0.00751341
1.4, 0.00597545
1.5, 0.00623335
1.6, 0.00706236
1.7, 0.00967941
1.8, 0.0120672
1.9, 0.0147759
2, 0.0177193
2.1, 0.0207014
2.2, 0.0236763
2.3, 0.0266634
2.4, 0.0296608
2.5, 0.0324246
2.6, 0.0352471
2.7, 0.0381522
2.8, 0.0410434
2.9, 0.0440323
3, 0.046666
3.1, 0.0493194
3.2, 0.0521172
3.3, 0.0550531
3.4, 0.0579802
3.5, 0.0608995
3.6, 0.0623689
3.7, 0.0649248
3.8, 0.0675839
3.9, 0.0700328
4, 0.0739355
4.1, 0.0787385
4.2, 0.0834144
4.3, 0.0879558
4.4, 0.0921774
4.5, 0.0960001
4.6, 0.0992712
4.7, 0.104323
4.8, 0.108359
4.9, 0.112368
5, 0.116269
