x, y
0.5, 210.234
0.6, 499.593
0.7, 644.498
0.8, 903.134
0.9, 797.231
1, 609.143
1.1, 380.676
1.2, 186.435
1.3, 62.1297
1.4, 32.0604
1.5, 32.2627
1.6, 32.623
1.7, 32.8651
1.8, 32.8556
1.9, 32.4786
2, 31.7576
2.1, 30.8364
2.2, 29.8852
2.3, 29.0526
2.4, 28.5033
2.5, 28.3847
2.6, 28.7803
2.7, 29.6546
2.8, 30.9614
2.9, 32.66
3, 34.6784
3.1, 36.1565
3.2, 37.7572
3.3, 39.3574
3.4, 40.9089
3.5, 42.4015
3.6, 43.8141
3.7, 45.1748
3.8, 46.524
3.9, 47.8815
4, 48.627
4.1, 49.5949
4.2, 50.6224
4.3, 51.6676
4.4, 52.7204
4.5, 53.7714
4.6, 54.8283
4.7, 55.8924
4.8, 56.977
4.9, 58.1924
5, 59.1841
