x, y
0.5, 4.59695e-09
0.6, 2.1473e-12
0.7, 1.27002e-12
0.8, 6.36225e-13
0.9, 3.01278e-13
1, 4.45153e-14
1.1, 1.54707e-10
1.2, 1.88407e-09
1.3, 6.13041e-09
1.4, 1.24838e-08
1.5, 2.00164e-08
1.6, 2.78775e-08
1.7, 3.54144e-08
1.8, 4.22902e-08
1.9, 4.82992e-08
2, 5.34037e-08
2.1, 5.76116e-08
2.2, 6.08697e-08
2.3, 6.31526e-08
2.4, 6.44199e-08
2.5, 6.4627e-08
2.6, 6.39172e-08
2.7, 6.24263e-08
2.8, 6.02648e-08
2.9, 5.75735e-08
3, 5.45443e-08
3.1, 5.13552e-08
3.2, 4.80511e-08
3.3, 4.49508e-08
3.4, 4.18594e-08
3.5, 3.87475e-08
3.6, 3.7197e-08
3.7, 4.23204e-08
3.8, 5.87451e-08
3.9, 8.40463e-08
4, 1.15661e-07
4.1, 1.52511e-07
4.2, 1.92746e-07
4.3, 2.3416e-07
4.4, 2.75412e-07
4.5, 3.16582e-07
4.6, 3.5875e-07
4.7, 4.03967e-07
4.8, 4.54455e-07
4.9, 5.10981e-07
5, 5.71408e-07
