x, y
0.5, 0.130848
0.6, 0.00902808
0.7, 0.000548749
0.8, 0.00027147
0.9, 0.000216718
1, 0.000174009
1.1, 0.000187043
1.2, 0.00214447
1.3, 0.00819641
1.4, 0.0187077
1.5, 0.0328083
1.6, 0.0491859
1.7, 0.0664569
1.8, 0.0834517
1.9, 0.0993516
2, 0.113684
2.1, 0.126259
2.2, 0.137177
2.3, 0.14682
2.4, 0.155619
2.5, 0.16388
2.6, 0.171795
2.7, 0.179411
2.8, 0.186728
2.9, 0.193712
3, 0.200311
3.1, 0.206443
3.2, 0.211091
3.3, 0.212343
3.4, 0.211529
3.5, 0.220341
3.6, 0.262711
3.7, 0.356808
3.8, 0.501413
3.9, 0.687591
4, 0.907297
4.1, 1.1541
4.2, 1.4211
4.3, 1.69884
4.4, 1.97593
4.5, 2.243
4.6, 2.48379
4.7, 2.69113
4.8, 2.85705
4.9, 2.9751
5, 3.04067
