x, y
0.5, 0.152877
0.6, 0.127652
0.7, 0.127651
0.8, 0.120919
0.9, 0.0740379
1, 0.0499445
1.1, 0.0482969
1.2, 0.0656301
1.3, 0.0660263
1.4, 0.0656992
1.5, 0.0649637
1.6, 0.064207
1.7, 0.0637097
1.8, 0.0635596
1.9, 0.063675
2, 0.0639416
2.1, 0.0642834
2.2, 0.0646575
2.3, 0.0650462
2.4, 0.065443
2.5, 0.0658439
2.6, 0.0662479
2.7, 0.066658
2.8, 0.0670696
2.9, 0.0674719
3, 0.0678554
3.1, 0.0682133
3.2, 0.0685415
3.3, 0.0688386
3.4, 0.0691047
3.5, 0.0693388
3.6, 0.0695379
3.7, 0.0697024
3.8, 0.0698363
3.9, 0.0699436
4, 0.070028
4.1, 0.135624
4.2, 0.135497
4.3, 0.13537
4.4, 0.135244
4.5, 0.135118
4.6, 0.134994
4.7, 0.134872
4.8, 0.134753
4.9, 0.134635
5, 0.134521
