x, y
0.5, 0.330023
0.6, 0.330023
0.7, 0.330023
0.8, 0.284132
0.9, 0.228365
1, 0.153339
1.1, 0.0856998
1.2, 0.0334129
1.3, 0.00676661
1.4, 0.00683532
1.5, 0.0069291
1.6, 0.00712746
1.7, 0.00748038
1.8, 0.00801062
1.9, 0.00875334
2, 0.009742
2.1, 0.0109831
2.2, 0.0124728
2.3, 0.0142089
2.4, 0.0161812
2.5, 0.0183655
2.6, 0.0207279
2.7, 0.0232315
2.8, 0.0258471
2.9, 0.0285633
3, 0.0313873
3.1, 0.0343346
3.2, 0.0374162
3.3, 0.0406338
3.4, 0.043982
3.5, 0.0474525
3.6, 0.0510393
3.7, 0.054739
3.8, 0.0585508
3.9, 0.0624722
4, 0.0664981
4.1, 0.0706227
4.2, 0.0748412
4.3, 0.0791503
4.4, 0.083546
4.5, 0.102395
4.6, 0.120476
4.7, 0.136815
4.8, 0.151377
4.9, 0.164611
5, 0.176721
