x, y
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
1, 1.72012e-08
1.1, 1.15724e-08
1.2, 7.76452e-09
1.3, 5.1642e-09
1.4, 3.35905e-09
1.5, 2.09596e-09
1.6, 8.69635e-10
1.7, 1.11158e-08
1.8, 3.28894e-08
1.9, 6.42192e-08
2, 1.00136e-07
2.1, 1.34862e-07
2.2, 1.6431e-07
2.3, 1.86399e-07
2.4, 2.00419e-07
2.5, 2.0666e-07
2.6, 2.06185e-07
2.7, 2.00975e-07
2.8, 1.93081e-07
2.9, 1.83879e-07
3, 1.74104e-07
3.1, 1.64081e-07
3.2, 1.53865e-07
3.3, 1.43423e-07
3.4, 1.32693e-07
3.5, 1.21659e-07
3.6, 1.10729e-07
3.7, 1.01887e-07
3.8, 1.00878e-07
3.9, 1.26072e-07
4, 1.96881e-07
4.1, 3.17609e-07
4.2, 4.88846e-07
4.3, 7.13667e-07
4.4, 1.00069e-06
4.5, 1.36315e-06
4.6, 1.80932e-06
4.7, 2.32884e-06
4.8, 2.89425e-06
4.9, 3.46825e-06
5, 4.00947e-06
