x, y
0.5, 0.0805193
0.6, 0.076982
0.7, 0.063546
0.8, 0.0431004
0.9, 0.0357166
1, 0.0218402
1.1, 0.016122
1.2, 0.0149873
1.3, 0.0142579
1.4, 0.0132666
1.5, 0.0132196
1.6, 0.0133475
1.7, 0.0135765
1.8, 0.0139864
1.9, 0.0146786
2, 0.0156767
2.1, 0.0200957
2.2, 0.0328068
2.3, 0.045865
2.4, 0.0616889
2.5, 0.0784443
2.6, 0.0854839
2.7, 0.085269
2.8, 0.0920414
2.9, 0.0990228
3, 0.103692
3.1, 0.108087
3.2, 0.112081
3.3, 0.114849
3.4, 0.118139
3.5, 0.121834
3.6, 0.125429
3.7, 0.128071
3.8, 0.121458
3.9, 0.12399
4, 0.123832
4.1, 0.122597
4.2, 0.123298
4.3, 0.125142
4.4, 0.127472
4.5, 0.129967
4.6, 0.131474
4.7, 0.130936
4.8, 0.13028
4.9, 0.129841
5, 0.129568
